model,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
FX-6350 with Wraith cooler,,6,6,3.9,4.2,,288,6,8,32,,,125,,61,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 6-Core Black Edition Processors,,Wraith cooler
FX-7500 with Radeon™ R7 Graphics,,4,4,2.1,3.3,,,4,,28,,,20,,,DDR3,1600,2,,6,553,No,Laptop,FP3,,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,AMD Radeon™ R7 Graphics,
FX-7600P with Radeon™ R7 Graphics,,4,4,2.7,3.6,,,4,,28,,,35,,,DDR3,2133,2,,8,686,No,Laptop,FP3,,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,AMD Radeon™ R7 Graphics,
FX-8120,,8,8,3.1,4,,384,8,8,32,,,125,,61,,,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8150,,8,8,3.6,4.2,,384,8,8,32,,,125,,61,DDR3,,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8300,,8,8,3.3,4.2,,384,8,8,32,,,95,,70.5,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8310,,8,8,3.4,4.3,,,8,,32,,,95,,70.5,,,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8320,,8,8,3.5,4,,384,8,8,32,,,125,,61.1,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8320E,,8,8,3.2,4,,384,8,8,32,,,95,,70.5,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8350,,8,8,4,4.2,,384,8,8,32,,,125,,61,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8350 with Wraith cooler,,8,8,4,4.2,,384,8,8,32,,,125,,61,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,Wraith cooler
FX-8370,,8,8,4,4.3,,384,8,8,32,,,125,,61.1,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8370 with Wraith cooler,,8,8,4,4.3,,384,8,8,32,,,125,,61.1,DDR3,1866,2,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,Wraith cooler
FX-8370E,,8,8,3.3,4.3,,384,8,8,32,,,95,,70.5,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-8800P with Radeon™ R7 Graphics,,4,4,2.1,3.4,,,2,,28,,,,,90,DDR3,2133,2,,8,800,No,Laptop,FP4,,AMD FX-Series Processors,AMD FX-Series Processors for AIOs,AMD Radeon™ R7 Graphics,
FX-9370,,8,8,4.4,4.7,,384,8,8,32,,,220,,57,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
FX-9590,,8,8,4.7,5,,384,8,8,32,,,220,,57,DDR3,1866,,,,,Yes,Desktop,AM3+,,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,,
N640,,2,2,2.8,,,256,2,,,,,35,,100,,,,,,,No,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,,
N660,,2,2,3,,,256,2,,,,,35,,100,DDR3,,,,,,No,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,,
N870,,3,3,2.3,,,384,1.5,,,,,35,,100,DDR3,,,,,,No,Laptop,AM2+,,AMD Phenom™,AMD Phenom™ II Triple-Core Mobile Processors,,
N960,,4,4,1.8,,,512,2,,,,,35,,100,DDR3,,,,,,No,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Quad-Core Mobile Processors,,
N970,,4,4,2.2,,,512,2,,,,,35,,100,DDR3,,,,,,No,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Quad-Core Mobile Processors,,
P650,,2,2,2.6,,,256,2,,,,,35,,100,DDR3,,,,,,No,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,,
P860,,3,3,2,,,384,1.5,,,,,35,,100,DDR3,,,,,,No,Laptop,AM2+,,AMD Phenom™,AMD Phenom™ II Triple-Core Mobile Processors,,
Sempron™ 2650 APU with Radeon™ R3 Series,,2,2,1.45,,,128,1,,28,,,25,,90,DDR3,1333,1,,,400,No,Desktop,AM1,,AMD Sempron™,AMD Sempron™ Dual-Core APU,AMD Radeon™ R3 Graphics,
Sempron™ 3850 APU with Radeon™ R3 Series,,4,4,1.3,,,256,2,,28,,,25,,90,DDR3,1600,1,,,450,No,Desktop,AM1,,AMD Sempron™,AMD Sempron™ Quad-Core APU,AMD Radeon™ R3 Graphics,
TL-52,,2,2,1.6,,,,2,,,,,31,,,,,,,,,No,Laptop,S1,,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,,
TL-56,,,,1.8,,,,,,,,,31,,,,,,,,,No,Laptop,S1,,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,,
TL-60,,2,2,2,,,,1,,,,,31,,,DDR2,667,,,,,No,Laptop,S1,,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,,
TL-64,,2,2,2.2,,,,1,,,,,35,,95,DDR2,667,,,,,No,Laptop,S1,,AMD Turion™,AMD Turion™ 64 X2 Dual-Core Mobile Technology,,
X1150,,4,4,2,,,,2,,28,,,17,,70,DDR3,800,,,,,No,Server,FT3,,AMD Opteron™,AMD Opteron™ X1100 Series Processors,,
X940,,4,4,2.4,,,512,2,,,,,45,,100,DDR3,,,,,,Yes,Laptop,S1,,AMD Phenom™,AMD Phenom™ II Black Edition Quad-Core Mobile Processors,,
